5155,0,0,100,88,1831950
5167,0,0,100,89,1824114
5768,0,0,100,110,100999
5770,0,0,100,111,100319
5783,0,0,100,144,30046
5785,0,0,100,145,52414
5786,0,0,100,146,63841
5788,0,0,100,147,28377
5790,0,0,100,148,48182
5793,0,0,100,149,25429
5796,0,0,100,150,18907
5799,0,0,100,151,8399
5802,0,0,100,135,501959
5805,0,0,100,143,9850256
5807,32,10,100,46,20
5823,32,10,100,57,1
5840,32,10,100,58,2042232
5855,32,10,100,59,7011
5870,32,10,100,61,201
5885,32,10,100,62,785640
5900,32,10,100,67,0
5915,32,10,100,74,0
5930,32,10,100,75,9900000
5945,32,10,100,95,5050000
5970,32,10,100,106,9009000
5983,32,10,100,123,1
5999,32,10,100,124,80
6013,32,10,100,125,99000
6029,32,10,100,126,400010
6043,32,10,100,127,1001
6059,32,10,100,128,5050505
6073,32,10,100,129,250030
6089,32,10,100,132,5050001
6103,32,10,100,139,9000000
6119,32,10,100,140,7075
6133,32,10,100,141,6420079
6149,32,10,100,8,600000
6163,32,10,100,1,0
6179,32,10,100,46,20
6193,32,10,100,57,1
6209,32,10,100,58,2022332
6223,32,10,100,59,7011
6239,32,10,100,61,201
6253,32,10,100,62,785640
6269,32,10,100,67,0
6283,32,10,100,74,0
6299,32,10,100,75,9900000
6313,32,10,100,95,5050000
6329,32,10,100,106,9003010
6343,32,10,100,123,1
6359,32,10,100,124,50
6373,32,10,100,125,99000
6389,32,10,100,126,400010
6403,32,10,100,127,1001
6419,32,10,100,128,5050505
6433,32,10,100,129,250030
6449,32,10,100,132,5050001
6463,32,10,100,139,9000000
6483,32,10,100,140,7075
6500,32,10,100,141,6420079
6516,32,10,100,8,600000
6532,32,10,100,1,0
6547,32,10,100,46,20
6563,32,10,100,57,1
6578,32,10,100,58,2012432
6595,32,10,100,59,7011
6610,32,10,100,61,201
6624,32,10,100,62,785640
6640,32,10,100,67,0
6654,32,10,100,74,0
6670,32,10,100,75,9800000
6690,32,10,100,95,5050000
6705,32,10,100,106,9437010
6722,32,10,100,123,1
6741,32,10,100,124,30
6757,32,10,100,125,99000
6782,32,10,100,126,400010
6802,32,10,100,127,1000
6817,32,10,100,128,5050505
6841,32,10,100,129,250030
6857,32,10,100,132,5050001
6872,32,10,100,139,3000000
6887,32,10,100,140,7075
6902,32,10,100,141,6420079
6932,32,10,100,8,600000
6947,32,10,100,1,0
6964,32,10,100,46,20
6981,32,10,100,57,1
6997,32,10,100,58,1992632
7012,32,10,100,59,7011
7028,32,10,100,61,201
7045,32,10,100,62,785640
7060,32,10,100,67,0
7075,32,10,100,74,0
7103,32,10,100,75,9800000
7140,32,10,100,95,5050000
7161,32,10,100,106,9537010
7176,32,10,100,123,1
7192,32,10,100,124,10
7207,32,10,100,125,99000
7228,32,10,100,126,400010
7244,32,10,100,127,1000
7259,32,10,100,128,5049505
7274,32,10,100,129,250030
7289,32,10,100,132,5050001
7304,32,10,100,139,9500000
7319,32,10,100,140,7075
7334,32,10,100,141,6420079
7349,32,10,100,8,600000
7364,32,10,100,1,0
7379,32,10,100,46,19
7394,32,10,100,57,1
7409,32,10,100,58,1992732
7424,32,10,100,59,7011
7439,32,10,100,61,191
7454,32,10,100,62,785640
7469,32,10,100,67,0
7484,32,10,100,74,0
7499,32,10,100,75,9700000
7514,32,10,100,95,5050000
7529,32,10,100,106,9513010
7544,32,10,100,123,1
7559,32,10,100,124,0
7574,32,10,100,125,99000
7589,32,10,100,126,400010
7604,32,10,100,127,1000
7619,32,10,100,128,5049505
7634,32,10,100,129,350030
7649,32,10,100,132,5050001
7664,32,10,100,139,9500000
7679,32,10,100,140,7075
7694,32,10,100,141,6419079
7709,32,10,100,8,600000
7724,32,10,100,1,0
7739,32,10,100,46,19
7754,32,10,100,57,1
7769,32,10,100,58,2002832
7784,32,10,100,59,7011
7799,32,10,100,61,191
7814,32,10,100,62,785640
7829,32,10,100,67,0
7844,32,10,100,74,0
7859,32,10,100,75,9700000
7874,32,10,100,95,5050000
7889,32,10,100,106,9504010
7904,32,10,100,123,1
7919,32,10,100,124,0
7934,32,10,100,125,99000
7949,32,10,100,126,400010
7964,32,10,100,127,1000
7979,32,10,100,128,5049505
7994,32,10,100,129,350030
8009,32,10,100,132,5050001
8024,32,10,100,139,9500000
8048,32,10,100,140,7075
8062,32,10,100,141,6419079
8077,32,10,100,8,600000
8092,32,10,100,1,0
8107,32,10,100,46,19
8122,32,10,100,57,1
8137,32,10,100,58,2002832
8152,32,10,100,59,7011
8167,32,10,100,61,191
8182,32,10,100,62,785640
8197,32,10,100,67,0
8212,32,10,100,74,0
8237,32,10,100,75,9700000
8269,32,10,100,95,5050000
8284,32,10,100,106,9501010
8299,32,10,100,123,2001
8314,32,10,100,124,300070
8329,32,10,100,125,99000
8344,32,10,100,126,400010
8360,32,10,100,127,1001
8374,32,10,100,128,5049505
8390,32,10,100,129,350030
8404,32,10,100,132,5050001
8419,32,10,100,139,9500000
8434,32,10,100,140,7075
8449,32,10,100,141,6420079
8464,32,10,100,8,600020
8479,32,10,100,1,0
8494,32,10,100,46,140121
8509,32,10,100,57,1
8524,32,10,100,58,2270130
8539,32,10,100,59,7011
8554,32,10,100,61,211
8570,32,10,100,62,785640
8584,32,10,100,67,0
8599,32,10,100,74,320000
8614,32,10,100,75,9700000
8629,32,10,100,95,5050000
8644,32,10,100,106,9500010
8659,32,10,100,123,1
8674,32,10,100,124,460
8689,32,10,100,125,99000
8704,32,10,100,126,400010
8719,32,10,100,127,1001
8734,32,10,100,128,5049505
8749,32,10,100,129,350020
8764,32,10,100,132,5050001
8779,32,10,100,139,9500000
8794,32,10,100,140,7075
8809,32,10,100,141,6420079
8824,32,10,100,8,600000
8839,32,10,100,1,0
8854,32,10,100,46,19
8869,32,10,100,57,1
8884,32,10,100,58,1962629
8899,32,10,100,59,6011
8914,32,10,100,61,112
8929,32,10,100,62,877800
8944,32,10,100,67,0
8959,32,10,100,74,0
8974,32,10,100,75,9700000
8989,32,10,100,95,5050000
9004,32,10,100,106,9500010
9019,32,10,100,123,1
9034,32,10,100,124,0
9049,32,10,100,125,99000
9064,32,10,100,126,200000
9079,32,10,100,127,1000
9094,32,10,100,128,5049505
9109,32,10,100,129,350020
9124,32,10,100,132,5050001
9139,32,10,100,139,9500000
9154,32,10,100,140,1085
9169,32,10,100,141,8011088
9184,32,10,100,8,0
9199,32,10,100,1,0
9214,32,10,100,46,11
9229,32,10,100,57,0
9244,32,10,100,58,2212729
9269,32,10,100,59,6011
9283,32,10,100,61,112
9298,32,10,100,62,878800
9313,32,10,100,67,0
9328,32,10,100,74,0
9343,32,10,100,75,9700000
9370,32,10,100,95,5050000
9385,32,10,100,106,9500010
9400,32,10,100,123,1
9415,32,10,100,124,0
9430,32,10,100,125,99000
9445,32,10,100,126,200000
